amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,mdd_rank,fund_score
149324,0.3226210752841656,0.9497958246616028,0.3005787817097677,0.011455159960520734,-0.31171900300634214,0.95,0.7,0.975,0.925,88.625
119598,0.3239808398464554,0.9453082575156093,0.3033696538698332,-0.023196062044059697,-0.2870600572176455,0.975,0.675,1.0,0.9,88.625
120505,0.3280159948038617,1.1801011976606492,0.2926358334175106,0.000549004250631717,-0.18188513572116294,1.0,0.9,0.95,0.625,87.125
148569,0.31924485848158723,1.2349300257743294,0.2827036785246582,0.01813388408385922,-0.1639674294693263,0.925,0.95,0.925,0.525,83.125
149323,0.29558105232568344,1.132121852474724,0.26598577542043045,-0.002523004664699254,-0.17248105753451382,0.825,0.875,0.825,0.55,76.875
100033,0.30099703552874524,1.0936987435346315,0.2719535450128533,0.00510352583052832,-0.16217208574644848,0.85,0.85,0.875,0.5,76.75
120843,0.30883325525154603,1.3067439695428409,0.27330465038306057,-0.022829569792426556,-0.1297396816518679,0.875,0.975,0.9,0.325,76.75
119094,0.28192608222062465,0.9982309868636414,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,0.8,0.75,0.8,0.7,76.25
148567,0.30949920362874206,1.4482911703262595,0.2698375144191807,0.02368355807584862,-0.11265729075028275,0.9,1.0,0.85,0.2,74.0
118632,0.2403119561352478,1.0816591793457035,0.21829397904608644,-0.008353832126962012,-0.17414075086657232,0.75,0.825,0.75,0.575,72.5
119551,0.2578492084946409,1.2082665673727175,0.23201007160635082,-0.03175144113890971,-0.1501238549864533,0.775,0.925,0.775,0.425,72.5
148568,0.22499840384352243,0.9262873467360144,0.20873010086942337,-0.02638771994384301,-0.1527259422823477,0.675,0.65,0.675,0.475,61.875
101206,0.23520488754230384,1.0272133278753697,0.21399784776051212,0.021086316250128027,-0.11291596329323073,0.725,0.8,0.725,0.225,61.875
120504,0.2327744753273051,1.0265242847992997,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.7,0.775,0.7,0.3,61.875
119552,0.21508021785499332,0.9532794968660094,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.65,0.725,0.65,0.275,57.5
120506,0.17072227512921923,0.6488787755249537,0.1625385327998104,0.04189646272811977,-0.1982565826298267,0.55,0.525,0.525,0.675,57.0
125497,0.19003613208378556,0.775790249821121,0.17729754927531766,0.0488204042595774,-0.15200013055606398,0.625,0.575,0.625,0.45,56.875
102887,0.16828673461948984,0.6195175900829826,0.16211256794033255,0.01668268943777081,-0.21539827112383225,0.525,0.475,0.5,0.75,56.375
118634,0.16361396476593382,0.4484340089089914,0.1750072167561127,0.10349663691337589,-0.2334488614483311,0.5,0.375,0.575,0.8,55.875
120503,0.18771330105513617,0.7979728586052853,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,0.6,0.6,0.6,0.35,53.75
118633,0.16262218000296524,0.6452074382933211,0.1564383594816967,-0.036639006718609375,-0.18629743138595511,0.475,0.5,0.475,0.65,52.5
101207,0.07933120999915699,0.1626607692864677,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,0.35,0.325,0.35,0.95,49.375
102885,0.18218826089343754,0.8170993373494365,0.17048756803412696,-0.019486785689474533,-0.1085986215250232,0.575,0.625,0.55,0.175,48.25
120841,0.13522349085511554,0.4942725378672353,0.13042924450705445,0.0363563990221998,-0.1757361416468729,0.425,0.425,0.4,0.6,46.375
125498,0.11293660210400969,0.30061192104254764,0.11989100971217971,0.009054412621739151,-0.21117279560132118,0.375,0.35,0.375,0.725,45.625
119093,0.07891944369437343,0.1296144979566932,0.08232801295222093,0.025883212440093156,-0.21751396370148224,0.325,0.3,0.325,0.775,43.125
118635,0.15945481185082522,0.6648569985490616,0.1513635464823924,-0.0014335213897801165,-0.1165062450540909,0.45,0.55,0.45,0.25,42.5
120842,0.06696806255006482,0.07599984804658923,0.0780443887615508,0.01805687420811815,-0.24003511326274884,0.25,0.275,0.3,0.825,41.0
149322,0.13383520958789363,0.46403744922047724,0.13173190226099432,-0.004050271130006522,-0.14844576917771746,0.4,0.4,0.425,0.4,40.5
119599,0.02053064146209893,-0.057186625828179925,0.048824215945539845,0.062001804382671694,-0.5257422117012851,0.075,0.225,0.125,1.0,35.375
119095,0.015204552427132478,-0.07597357117478916,0.048015953637759554,-0.06695117463929202,-0.5167775370852656,0.05,0.2,0.1,0.975,32.875
100016,0.026352458116335464,-0.20151706755966942,0.03747580763443281,-0.05826843143880889,-0.24734440880673303,0.1,0.15,0.05,0.85,29.0
119092,0.0636349475771898,0.030784850954585923,0.0689952982167755,0.009730745001153633,-0.1440161790933726,0.2,0.25,0.275,0.375,27.125
102886,0.0117093879842316,-0.2058316078547032,0.028969397866379445,-0.042125029021894335,-0.2800112356639287,0.025,0.125,0.025,0.875,26.25
120507,0.0723241093234459,0.49572339295331247,0.06746210411099539,-0.0004440926329707217,-0.0009773140045925555,0.3,0.45,0.25,0.025,25.875
120844,0.0691037983940288,-0.08874729621557284,0.06455677495375998,-0.0004007442394784001,-0.0011629327956168556,0.275,0.175,0.225,0.05,18.375
119120,0.05885271270380055,-0.22657538662791585,0.05620895216638369,-0.0064138507282764734,-0.04328728923970093,0.175,0.1,0.175,0.125,14.375
101208,0.06504429821332125,-0.8155673679088261,0.060861457957871144,0.00026670968338238357,-0.0016224980244717857,0.225,0.025,0.2,0.075,13.25
118636,0.053131554027608274,-0.3566295075143679,0.05074772999976104,0.0012566742731558473,-0.08316361763638702,0.15,0.075,0.15,0.15,13.125
100025,0.04455091155784441,-0.5670947928476845,0.042817920315060876,0.0011582183155281445,-0.04308263824636349,0.125,0.05,0.075,0.1,9.0
